Umpire,GC,PC,IC,xIC,CC,xCC,CCAx,Acc,xAcc,AAx,Con,Fav [H],totRI
gerry davis,159,22067.0,2004.0,1813.0,20063.0,20254.0,-1.336,90.896,91.806,-0.912,92.448,0.03,1.786
greg gibson,180,25891.0,2087.0,2028.3,23804.0,23862.7,-0.356,91.961,92.196,-0.241,93.312,0.06,1.679
hunter wendelstedt,245,35596.0,2823.0,2656.9,32773.0,32939.1,-0.729,92.054,92.533,-0.477,92.598,0.095,1.6
jacob metz,12,1858.0,96.0,120.5,1762.0,1737.5,2.042,94.808,93.558,1.275,94.825,-0.192,1.172
james hoye,257,37698.0,2706.0,2842.9,34992.0,34855.1,0.57,92.838,92.478,0.362,93.456,0.032,1.478
jansen visconti,172,25729.0,1353.0,1729.8,24376.0,23999.2,2.284,94.729,93.275,1.454,93.864,0.04,1.169
jeff kellogg,117,16371.0,1371.0,1361.5,15000.0,15009.5,-0.091,91.633,91.696,-0.068,93.127,-0.004,1.686
jeff nelson,252,36895.0,2747.0,2824.1,34148.0,34070.9,0.325,92.552,92.351,0.199,93.186,-0.048,1.495
jeremie rehak,159,23950.0,1278.0,1621.7,22672.0,22328.3,2.203,94.669,93.213,1.456,93.805,0.028,1.136
jeremy riggs,87,12917.0,694.0,838.9,12223.0,12078.1,1.685,94.571,93.49,1.081,93.935,0.102,1.13
jerry layne,141,19529.0,1665.0,1543.1,17864.0,17985.9,-0.967,91.411,92.044,-0.627,92.534,0.138,1.717
jerry meals,230,33047.0,2737.0,2527.0,30310.0,30520.0,-0.995,91.664,92.364,-0.703,92.933,-0.05,1.715
jim joyce,49,7190.0,670.0,665.5,6520.0,6524.5,-0.094,90.7,90.748,-0.038,93.373,-0.039,1.753
jim reynolds,201,29216.0,2193.0,2321.7,27023.0,26894.3,0.685,92.507,92.051,0.462,93.069,0.051,1.537
jim wolf,242,34710.0,2434.0,2643.3,32276.0,32066.7,0.93,92.966,92.379,0.589,93.487,0.091,1.377
joe west,209,29523.0,2688.0,2311.4,26835.0,27211.6,-1.982,90.919,92.198,-1.282,92.896,0.048,1.88
john bacon,43,6948.0,428.0,473.8,6520.0,6474.2,1.065,93.858,93.216,0.66,93.035,0.166,1.292
john hirschbeck,56,7966.0,833.0,771.8,7133.0,7194.2,-1.177,89.483,90.277,-0.81,91.333,0.141,2.041
john libka,162,24090.0,1207.0,1597.6,22883.0,22492.4,2.52,94.967,93.356,1.615,93.908,0.014,1.068
john tumpane,255,35658.0,2344.0,2652.9,33314.0,33005.1,1.326,93.416,92.536,0.88,93.694,0.075,1.297
jonathan parra,9,1362.0,91.0,88.3,1271.0,1273.7,-0.3,93.244,93.522,-0.256,94.267,0.293,1.282
jordan baker,265,38370.0,2661.0,2878.1,35709.0,35491.9,0.883,93.05,92.485,0.562,93.403,-0.012,1.429
jose navas,36,5755.0,399.0,384.2,5356.0,5370.8,-0.411,93.183,93.303,-0.122,92.889,-0.1,1.64
junior valentine,93,13993.0,785.0,916.2,13208.0,13076.8,1.442,94.385,93.447,0.935,93.759,-0.049,1.193
kerwin danley,150,20941.0,1924.0,1688.9,19017.0,19252.1,-1.729,90.821,91.929,-1.112,92.235,0.079,1.809
kyle mccrady,7,1118.0,69.0,80.0,1049.0,1038.0,1.571,93.9,92.886,1.014,93.943,0.189,1.543
lance barksdale,266,36528.0,2315.0,2735.5,34213.0,33792.5,1.767,93.672,92.503,1.167,93.647,0.071,1.266
lance barrett,267,38326.0,2947.0,2868.7,35379.0,35457.3,-0.307,92.257,92.523,-0.266,93.087,0.067,1.521
larry vanover,233,33175.0,2757.0,2503.8,30418.0,30671.2,-1.183,91.678,92.432,-0.759,92.986,0.038,1.659
laz diaz,259,37048.0,3094.0,2807.7,33954.0,34240.3,-1.193,91.683,92.431,-0.75,93.02,0.101,1.649
lew williams,4,619.0,36.0,40.6,583.0,578.4,1.15,94.225,93.45,0.775,93.475,0.155,1.355
malachi moore,78,11944.0,854.0,798.3,11090.0,11145.7,-0.723,92.87,93.321,-0.465,93.139,0.089,1.446
manny gonzalez,256,37228.0,2603.0,2830.6,34625.0,34397.4,0.956,93.011,92.413,0.597,93.308,0.119,1.457
marcus pattillo,5,798.0,95.0,78.6,703.0,719.4,-3.28,87.8,90.2,-2.4,91.36,-0.322,2.382
mark carlson,258,37285.0,2810.0,2788.5,34475.0,34496.5,-0.09,92.463,92.52,-0.061,93.105,0.012,1.538
mark ripperger,256,36606.0,2391.0,2797.5,34215.0,33808.5,1.708,93.443,92.335,1.107,93.492,-0.006,1.319
mark wegner,241,34803.0,2352.0,2661.3,32451.0,32141.7,1.4,93.238,92.354,0.879,93.362,-0.063,1.421
marty foster,157,22493.0,1949.0,1821.2,20544.0,20671.8,-0.881,91.335,91.923,-0.59,92.45,-0.033,1.704
marvin hudson,270,39229.0,3024.0,2950.3,36205.0,36278.7,-0.297,92.286,92.479,-0.194,93.314,0.057,1.61
